,HC,HC,HC,HC,HC,HC,HC,HC,PC,PC,PC,PC,PC,PC,PC,PC,PC,SC,SC,SC,SC,SC,SC,SC,SC,SC
TEC,97,99.2,396.4,96.8,235.2,130.4,119,98.8,107.7,93.5,93.1,103.4,129.6,82.8,85.4,91.3,105.2,136.2,111.8,91.7,90.5,87.5,134.3,119.4,97.8,134.5
CLC7A,167.1,141.9,381.5,140.4,211.8,147,182.7,161.8,130,155.2,143.3,120.3,131.7,157.6,159,133.8,199.5,158.6,151.2,110.6,124.3,170.6,150.5,228.7,148.7,182.4
HEMK2,1558.2,1450.4,1420.9,1373.7,962.5,1544.2,1296.3,1265.8,1649.7,1158.8,1484.4,1653.2,1657.5,1629.5,1420.6,1992.8,1295.2,1365.5,802.5,1906.9,1763.3,1325,1509.9,1062.7,1470.6,3608.6
WNT7A,66.7,83.1,105.2,70.5,45.2,65.5,56.2,77.5,53.8,41.3,47.5,66.2,66.9,59,49,78.8,70.4,64.5,106.2,75.6,56.4,42.6,63.1,48.5,87.6,59.1
Catalase,347.5,319.6,141,2180.5,90.5,440.7,162.2,216.9,10500,1129.7,8545.2,294.3,98.5,7284.7,1442.2,173.5,142.9,1173.1,1319.7,95.5,1287.8,32701.7,114.5,240.6,804.1,117.9
IL-3,127.3,149.4,639.1,189.5,266,161.2,220.4,194.3,162.8,215,143.6,152,154.9,133,148.1,162.1,258.5,177,179.5,169.8,173.5,215.3,187.8,119.2,194.1,212.7
EphA1,100.1,81,94.8,96.9,122,94.6,108.2,78.8,86.7,109.8,82,75.2,77.1,83.1,92.2,84.3,110.4,82.7,90.3,106.5,72.3,100.2,88.8,109.2,84.6,86
3HIDH,118.4,136,194.8,127.1,122,114.8,883,119.6,121.5,113.1,121,143.2,151.7,109.3,111.6,154.9,102.9,122.5,87,133.4,138.2,81.8,125.5,96.7,119.8,226.2
MAPK14,58.4,62.9,103.9,54.1,89.9,56.7,62.7,62.1,57.4,67.3,56.4,62.2,66.2,55.2,60.2,49.6,58.5,60.8,48.6,59.3,56.2,61.7,63.8,63.5,55.8,81.3
14-3-3 protein theta,503.6,508,612,528.6,458.8,476.5,476.3,499.5,565.4,493.3,509.4,518,562.5,622,457.1,741.2,422.3,509,456.7,550,571.5,568.1,603.5,448.2,459.2,1135.5
UBE2N,134.2,67.4,84.9,103.1,89.9,121.9,170.8,87.9,105.6,117.8,136,107.2,56.2,138.2,222.2,81.1,152.6,147.1,144.9,117,61.8,78.4,78.9,146.5,77.1,37.2
LIN7B,153.8,58.7,48.3,58.4,60.4,100.7,89.9,70.5,60.7,63.5,58.4,58.9,61,56.5,64.8,46.7,94.3,60.9,57.1,70.9,60.6,54.2,64.9,71.7,87.9,44.7
FAK1,46.4,51.4,50.6,49.4,33.6,42.6,48,50.1,41.1,36.7,46.4,52.2,58.3,41.8,44.1,47,38.5,47.3,31.3,83.3,58.2,39.8,45,41.6,47.2,46.9
Calcineurin B a,646.2,705.2,5151.6,656.9,1684.2,1019.7,770.7,972.7,1084,1838.9,753.4,694.5,644.6,636.8,893.7,770.1,713.7,841.1,1643.6,1006.4,692.5,889.1,1507.2,824.2,1081,1596.6
Nucleoside diphosphate kinase A,982.5,807.4,460.1,1055.3,628,869.9,540.6,684.6,1832.7,554.5,1661.5,588.9,269.5,1117.4,876.1,880.4,705.1,706.2,1210.7,786.9,708.6,5226.7,615.1,569.6,957.1,849.6
IL-3 Ra,85.7,90.3,75.7,95.9,78.8,123.3,94.9,88.2,84.9,90.6,83.8,98.7,92.3,113.2,99.2,95.8,87.3,92.3,80,91,98.9,95.8,84.6,88.3,89.8,125.1
CAMK1D,190.9,95,113.1,105.7,176.9,127.4,149.5,107.9,105,145,114.5,107.4,97.5,104.9,146.3,98.7,218.1,186.9,172.4,106.5,92.4,123.4,93.8,118.1,130.8,101.3
Galectin-3,10149.7,42872,14229.4,7357.1,1108,3303.3,12812.8,47820.6,5117,1850.9,4688.4,87450.9,525,996.7,21285.2,59261.2,1190.5,85665,5428.5,6883.8,3528.4,11059.5,723.1,7406.5,186789.2,712.3
Siglec-6,246.8,82,51.6,78.7,195.7,145.2,188.3,74.3,99.1,118.9,87.8,48.1,70.3,109.6,138.5,61.3,201.3,85.9,103,97.5,49.6,77.3,138.7,245.8,101.6,46.9
sLeptin R,106.6,121.8,414.8,118.5,136.5,119.6,105,110.5,117.4,132.7,113.6,137.2,140.4,111.9,191.2,148.1,97.6,109.8,98,193.6,129.2,82.9,119.5,89.9,111,216.8
CDON,153.3,104.4,90.7,128.7,167.7,160.7,148.3,104.2,126.2,129,164.3,87.2,94.1,121.4,154.3,100.2,145.3,141,182.5,108.7,89.5,208,140.1,169.9,133.8,132.9
CAMK2A,62.8,57.6,54.6,56.1,74.5,60.7,64.4,56.2,57.9,60,52.8,54.1,56.2,67,62.6,48.1,65.3,57.7,55.2,70,53.4,57.5,50.1,66.5,65.2,46.6
Cofilin-1,4103.7,479.2,187.2,275.3,644,742.8,413.8,506.2,345.6,335.9,982.7,344.3,563.8,628.1,441.4,174.8,573.4,1102.1,501.1,479.7,219,1085,226.3,308.4,345.7,212.1
GM-CSF,106.7,113.5,249.3,882.1,102.7,498.1,182.5,136.6,576,243.1,172.1,118.1,115,312.2,142.4,187.7,176.4,722.7,147.3,240.6,125.5,986.8,303.1,140.1,110.3,163
STAB2,772.9,229.3,125.5,195.7,386.6,542,394.7,272,217.3,331.7,448,112.3,255.9,317.3,376.2,140.8,655.1,120.6,397.6,302,110.3,273.6,295.7,627.9,313.6,113.5
CD27,1124.7,1490.6,2694,2672.5,895.9,1516,1118.2,1617.8,2159.1,675.2,802.6,1692.9,1600.4,1192.4,584.5,3212.7,1267.9,780.6,1216.4,4893.5,2469.9,835.2,950.5,481,1413.8,4204.5
PDPK1,31.9,34.6,31.2,32.6,27.1,28,35,33.9,30.9,24.9,34,34.7,36.6,29.5,29.6,30.3,29.9,30.7,23.9,31.3,34.2,22.1,30.4,41.5,32.7,31.6
FGFR-2,53.8,66.2,82.1,61.1,59.3,63.9,56.3,58,53.1,60,55.1,73.7,72,62,57.3,63.7,52,60.3,46.4,59.7,65.5,55.1,61.8,50,56.6,72.9
IL-5,103.7,120.1,128,107.6,81.6,95.4,105.1,114.6,102.1,88.9,101.3,123.8,147.5,94.7,92.2,135.3,92.9,99.6,57.6,108.7,128.3,67.9,107.2,79.1,103,228.7
HCE003183,3398.9,3319.5,3342.2,3419.2,3425.6,3385.5,3394,3380.9,3428.8,3355.1,3315.6,3354.2,3342.5,3370.9,3310,3569.8,3423.6,3284.4,3363.5,3354.5,3319.9,3477,3351.1,3401.5,3409.7,3377.6
PD-L2,98,110.8,169.5,102.9,91.5,92.8,106.8,86.1,91.9,107,113,98,95.4,98.6,108.7,107.5,94.7,196.4,88.1,102.5,106.5,111.2,120.7,80.1,98.8,132.9
NET1,41.8,30.5,27.1,36,62.3,40.5,41.9,30.9,34.7,42,41.5,30.5,31.1,49.3,46.2,26,51.1,35.4,34.6,33,29.4,48.3,30.3,55.3,35.1,29.7
LRP1B,250.2,178.6,206.8,172.7,159,137.2,155.7,133.5,226.2,128.7,263.8,181.7,135.1,639,207.3,158.9,120.4,152.1,394.5,157.5,218.3,9837.6,152.5,149.6,159.9,233
GNS,143.4,134.1,261.3,132.2,212.1,192.5,195.8,164.2,143.2,162.3,128.5,138.4,145.8,370.5,182.7,162.4,214.2,154.2,152.4,128.9,144.7,127.7,161.2,216,153.8,229.6
"gp130, soluble",69.3,111.8,63.2,92.8,54.5,85.4,55.8,87.4,63.2,90.9,85,156.2,52.5,66.9,98.6,67.3,92.2,106.2,100.6,64.1,239.9,343.9,46.6,55.9,121.6,39.4
AREG,102,87.4,82,103.3,117.6,94.6,102.3,84.3,85.9,106.1,97.4,83.9,86.6,86.6,104.6,82.6,114.2,86.9,96,98.4,96.7,133,85.6,120.3,95.7,111
IL-5 Ra,114.8,64.7,58.9,60.9,86.7,78.2,86.5,59.1,68.3,75.2,60.1,62,63.8,65.2,65.1,67,85.4,82.1,83.6,69.5,58.1,59.8,81.6,71,77.4,35.3
ING1,138.2,128.8,179.2,130.3,216,191.8,236.4,190.2,150.7,256.1,128.6,124.4,120.5,452.7,212.8,137.6,205.7,222.6,229.2,156,128.6,155.7,179.9,238.8,149.4,299.4
CHK1,178.5,78.9,61.3,81.9,167.8,165.8,148.9,96.6,95.1,144.1,120.7,58.6,93,100.6,169.5,51.4,361.6,75.8,123.2,111.5,51.9,95.1,129,223.1,119.6,65.7
PDGFRA,173.6,190.8,266.8,187.5,168,167.1,180.8,182.3,179,166.6,177.3,209.2,222,180,170.2,226.1,199,199.1,155.2,192.5,191.9,124,210.7,242.6,166.2,376.9
Testican-1,5417.7,9158.8,4453.7,7617.6,1997,8088.3,2743.7,3946.3,1620.6,7033.7,13118.6,6063.5,3202.8,3710.6,4525.1,6271,2805.9,2720.9,2796.9,3922.2,1297.6,6001,5792.1,5365.2,5779.4,7493.3
Factor I,49.9,57.1,1028.4,607.1,309.8,687.2,461.9,72.6,519.4,51.9,181.9,108.9,64.6,455.1,135.9,1797.1,420.9,914.3,1745,1165.1,74.9,2190.3,84.4,90.9,106.9,47.5
Ck-b-8-1,69.3,75.4,171.7,98.1,118.1,112.4,89.5,80.8,95.7,100.8,75.4,81.9,85.7,106.4,80.9,118,89.4,126.4,126.8,94.3,89.2,69.2,86.7,73.6,67.5,92.6
TSP4,55.3,57.5,40.9,44.1,86.9,64,81.4,75.1,64.4,94.3,47.6,35.7,45.1,62.1,101.2,43.8,346.2,45.3,44,42.8,46.9,254.7,45.8,235.5,73.5,30.3
FCG3B,83.1,233,136.6,147.9,64.6,72.7,76.3,72.8,153.6,71.5,128.1,81,58.6,76.4,79.9,80.4,109.3,56.9,205.5,40.9,244.7,2613,167.4,122.5,703,31.3
Apo L1,53.7,67.7,143.2,90.1,85.8,86.4,85.2,60.2,89.6,63,80.4,73.1,96.6,82.6,55.5,90,75.5,102.3,147.1,95.1,63.7,108.3,103.9,53,67.5,69.8
H2B2E,137.7,118.1,1020.9,740.9,451.6,950.7,611.8,114.4,1203.1,155.7,279.5,169.4,125.4,911.2,280,675.6,635.8,963.5,2565.2,805.8,370.9,4476.4,287.5,157.8,120.9,164.8
LSAMP,53.7,56.9,48.9,55.4,41.3,54,46,50.9,50.8,43.4,61.9,56.6,58.6,53.4,46,51.9,43.9,46.5,38,59.3,54.3,39,49.5,40.6,56.4,49.1
Secretin,43.7,50.9,54,49.9,42,49.6,42.5,50.8,48.3,41.8,50.8,53.5,58.6,49.6,46.5,50.6,39,48.6,32,50.4,52.1,32.7,46.5,38.6,47,58.8
EMAP-2,471.7,363,247.8,1328.7,269.3,497.5,244.2,349.7,390.8,433.3,384.7,263.5,214.7,418.8,380.4,371.5,343.3,377.1,489.2,488.7,260,1559.2,255.6,379.7,292.9,473
GFRa-2,369.3,146.5,177.2,184.1,511.1,284.2,301.5,210.4,198.7,640.5,225.7,98.7,122.6,830.6,370,124.7,412.2,159.5,363.2,275.8,92.3,236.6,185.7,488.3,232.7,126.4
GFRa-3,366.5,145.1,127.9,163.2,295.9,300.3,300,182.6,171.2,318.9,253.8,86.6,136.2,693.7,259.4,106.6,405.4,131.4,265,201.3,68.5,200.8,191.6,523,235.3,125.1
TLR2,233.9,296.7,226.5,233.8,221.7,202.6,194.1,307.5,332.8,217.1,236.2,208,204.8,229.1,227.9,249,196.9,238.4,187.7,248.9,199.7,317.8,220.4,284.3,252.9,376.3
YES,107.1,92.3,76.1,85.4,73.5,99.4,101.8,86.8,78,79,96.4,87.8,95,75.5,90,89,108.6,92,78.1,86.2,84.4,70.2,81.8,90.6,90.5,117
TrkB,64,76.4,74.1,67.7,46.2,63.7,62.2,69.2,65.3,53.8,65.6,76.2,79.2,57.4,56.2,89.5,51.1,65.7,41.7,67.8,73.9,48.5,61.8,52,63.9,82.9
C1q,101.9,47.9,44.4,88,83.3,76.6,52.4,72.1,168.6,76.2,84.6,75.7,50.3,50.5,54.6,46.6,84.3,76.8,1026.5,58.7,139.2,1298.4,32.1,73.1,88.5,41.9
ERBB4,42.7,46.6,38.2,41.4,29.9,40.6,41.7,44.5,39.5,34.4,43.2,44.7,52.3,40.8,39.9,42.8,36.9,37.3,25.5,46.1,45.4,28,40.8,35.6,45.9,40.7
Caspase-3,241.5,538.8,309.3,666.1,79.5,281.7,254.1,655.9,919.7,118.1,1162.8,333.3,111.6,422.7,180,366.4,243.2,637.5,2949.4,162.3,588.3,2272.5,108.3,433.8,664.3,215.2
Galectin-2,73.1,73.7,91,71,106.1,75.5,81.8,150.2,74.5,100.9,68.3,72.2,78.8,138.5,89.5,81.8,91,74.8,76.6,70.4,74.6,73.6,86.5,96.5,77.8,73.2
PDGF-BB,50.8,44.1,37.8,48.7,43.3,44.3,56.6,45.6,46.7,42.2,42.9,45.6,43.7,51.2,48.8,41,59,44.6,49.1,45.3,40.9,34.6,40.7,79.9,47.6,37.5
WNK3,40.7,41.1,46.9,41.7,42.9,39.2,44.6,46.3,41.2,50,41.8,45.4,50.3,52.1,40.7,50.3,39.2,45.9,30.7,44.5,45.4,30.5,43.7,35.5,44.8,40.7
IMB1,56.3,64.6,61.3,70.2,51.1,58.8,60.8,59.4,66.3,48.2,60.4,61.5,59.4,53.5,62.6,71.6,61.9,80.4,77.4,70.2,57.3,97.1,53.8,50.5,92.3,49.1
NRX3B,73.1,80.3,101.1,79.6,77.8,76.3,74.1,78.3,75.7,75.2,78.2,84.4,95.1,63.9,76.7,90,70.4,82.3,64.5,79.6,86.1,127.4,85.2,65.1,72.2,105.7
PDGF Rb,55.8,51.1,49.7,61.3,69.5,58.6,56.3,50.3,53.9,62.4,50.4,51.7,51.6,53.5,56.5,46.7,61.9,53.2,57.5,67.4,52.8,56.4,52.2,49.7,53.3,45.7
NRG4,70.1,84.3,169.4,78.9,97.2,72.5,68.3,80.9,80.1,77.9,76.6,98.6,97.6,72.2,67.8,101.1,66.1,77.8,68.2,79,84.3,57.4,106.1,67.1,75.3,103.5
PFD5,45.8,49.9,45.5,49.4,33.8,46,48.4,47.9,48.5,39.6,53,53,54.5,44.8,46,27.8,45.9,47.7,40,51.1,52.2,61.5,44.8,43.9,46,60.4
DKK1,69.1,68.1,76.4,74.6,148,72.4,78.2,62.1,78.7,109.8,66.7,65.3,69.6,61.3,78.7,62.6,79.8,67.6,96.4,81.1,59.5,133.5,65,72.4,71.9,55.4
CO8A1,84.3,96.8,128.6,112.2,93.8,93.5,92.1,87.5,92.6,93.7,95.3,114.3,113.7,82.7,95.5,120.5,78.9,101.6,83.6,102.1,103.2,62.2,92.1,73.1,85.2,158
FGR,37.1,40.6,40.1,39.7,24.6,37.7,33.9,40.6,36.6,28.2,38,41,49.6,35.5,32.7,46.6,31.1,38.8,23.2,40.6,42.2,27.2,38.1,29.1,39.3,32.8
ART,74.2,79.2,59.6,68.4,51,68,68.6,71.8,64.3,55,65.8,78.7,87.3,64,58.2,78.1,60.9,68,46.8,58,85.3,52.9,68.4,58.9,70.8,94.5
FGF-10,64.4,70.3,68.6,68.6,65.4,61.9,68.9,73.2,60,74,66.9,70.8,73,59.8,67.2,78,64.6,60.3,42.3,73.5,74.9,57.1,60.3,61.6,70,93.8
complement factor H-related 5,154.5,147.9,767.6,154.2,302.4,177.6,154.2,162.7,176.5,245.2,152.6,141.3,177.9,125.2,157.6,160.6,142.9,141.1,216.6,170.4,146.8,180.3,233.9,148.9,144.4,256.5
NCAM-120,61.5,49.3,42.8,48.7,58.5,49.7,67.8,47.4,47.5,63.6,65.1,47.4,51.9,52,79.6,35.7,79.6,53.3,49.4,55.3,45.8,76.7,53.3,79.9,57.1,46.6
Cadherin-6,65.4,71.9,338.8,65.4,143.8,64.8,62.5,63.6,79.2,70.1,64,77.6,82.3,56,61.7,75.9,58.1,63.8,76.9,62.8,73,61,100.4,62.1,65.3,82.9
PSD7,70.4,68.9,58.9,73,65.2,62.9,70,71.6,62.1,61.5,67.8,68.3,75.2,63.6,68.7,74.8,67.7,61.4,51.3,68.3,68.3,132,59.8,66.1,68.6,82.3
KPCI,154.1,79.7,60.8,78.4,139.3,136.4,148.6,216.9,104.6,146.9,108.1,61.5,75.8,208.5,153.2,78.8,262.8,154.9,132.2,89,56.7,86.2,94,265.8,94,54.4
aldolase A,1118.6,1159.4,982,4851.9,375.4,1759.7,1779.4,2231.8,1022.8,151,998.1,1113.7,111.2,241.7,1205.3,267.8,183.7,2084.5,2563.7,423.1,8094.5,708.3,84.8,124.1,3381.8,132.3
FABPL,345.9,499.7,513.2,3245.3,135,189,374.6,936,203.8,211.2,166.1,482.6,266.1,99.1,380.9,165.5,112.3,213.9,244.6,181.8,782.4,2389.5,193.2,122.5,812.5,468
NRX1B,71.4,54.2,48.3,49.8,79.9,48.9,65.9,52.3,48.3,39.7,49.8,54.3,60.4,46.4,46.8,51.7,45.8,50.2,36.5,49.3,55.2,46.1,59.4,75.8,51.3,57.9
TLR4,55.4,66.4,74.9,60.2,46.6,59.8,57.2,62.6,69.1,50.8,67.5,83.3,70.9,59,60.3,87.9,65.5,67.8,56.6,73.8,61.8,55,77.1,85.6,59.1,47.2
PEDF,271.7,203.1,230.3,335.9,134.4,146.7,325,505.2,152.4,120.7,157.3,210,206.6,212.1,139.3,312.7,182.6,244.6,132.1,194.4,195.9,498.4,162.2,149.3,240.8,361
Met,53.2,59.7,46.1,71.1,38.8,51.5,49.5,59.8,46,38.4,52.5,53.4,58.4,43.3,48.9,46.3,47,62.6,36.5,45.8,61.3,37.1,47.4,41.6,62.7,55.1
CAD15,350.8,435.8,4116.7,350.3,666.4,442.4,348,406.2,585.1,659.3,354,394.4,314.4,259.1,349,412.1,318.1,356.6,926.6,489.3,323.3,479.2,962.5,396.3,387.7,698.8
C2,96.1,79.4,64.8,88.4,89.6,79.9,89.8,68.3,71.2,73.7,77.3,76.1,69.7,65.6,81.5,75.5,93.6,61.8,86.8,71.5,76.8,129.5,79.6,92.1,84,58.2
CREL1,81.2,85.5,105.5,81,83.7,74.3,111.1,84.3,78.3,90.1,124.8,94,94.7,105.6,101.6,101.9,80.9,108.7,74.2,88.2,92,62.2,103.7,128.9,76.6,147.3
Epo,54,61.5,64.7,55.9,60.7,53.3,56.6,60.2,59,56.3,53.8,63.6,71.4,65.8,62.9,66.2,51.1,59.4,39.7,52.4,62.9,41.2,59.5,49.2,62.3,69.1
MK11,55,60.2,57,53.9,50.9,68.2,56.1,60,58.1,51.3,65.9,60.8,69.1,66.2,53.2,62.1,55.4,69,53.3,71.9,61.8,50.7,56.5,54.4,59.5,63.8
MMP-10,86.6,96.9,124.3,79.9,77.6,80.7,80.3,91.5,78.2,67.2,80.8,108.2,114.7,75.8,68.4,116.2,64.2,86.4,57.2,72.8,108.1,66.4,94.7,63.3,89.9,163.9
kallikrein 12,139.4,93.5,88.9,117.6,203.2,181.1,118.9,110.4,98.1,216.1,137.5,94.4,98.3,101.7,85.2,78.4,146.9,97,336.8,138.2,75.9,626.6,71.7,128.9,92.7,92.3
FYN,215.6,349.8,276.7,187.2,172,202.9,186.9,227.4,202.5,152.9,186.7,258.2,480.2,198.5,158.5,275.7,149.5,178.2,120.9,213.3,244.8,144.2,207.6,123.5,290.8,713.2
FCN1,98,85.9,341.6,84.5,192.1,121.1,127,132.6,103.8,170.1,96.5,77.1,90.7,107.6,132.6,79.8,147.2,95.4,204.8,74.7,77.3,125.7,119.9,156.8,129,98.5
ATPO,107.7,114.3,199.8,112.8,176.8,167.5,160.3,142.1,116.6,173.7,102.9,124.6,118.3,145.7,129.2,125,129.8,123.3,120.5,143.7,112.4,112.7,160.4,125.3,125.8,198.3
IL-18 Ra,73.4,76,76.4,85.5,77.7,68.4,70.5,76.8,69.2,74.7,73.9,80.5,83.6,56.4,71.9,73.8,72.9,65.8,78.7,72.6,75.3,133,65.2,60.2,72.9,88.2
Coagulation Factor XI,62.7,61.2,66.5,75.4,95.2,75,76.9,58,68.6,89.1,64.9,48.9,50.9,55.4,77.2,49.9,94.6,94.6,160.6,82.3,48.8,241.2,68.6,113.1,51.1,48.2
Macrophage scavenger receptor,76.1,78.1,330.9,80.1,183.1,110.3,81.6,88.6,100.1,141,74,75.9,91.5,65.8,98,86.3,85.5,84.6,107.1,77.5,82.8,78.2,124.1,104.4,77.1,78.8
Angiopoietin-4,261.3,136.5,139.7,130.2,234.9,137.9,248.3,212.6,147.5,241.5,197.2,90.9,194.5,416,263.5,133.3,609,114.9,143.6,117.7,101.4,190.7,146.2,446.4,208,236.8
G-CSF,527.3,429.3,359,406.5,287.7,466.6,295.3,533.2,515.1,296.6,588.4,317,307.8,464.2,427.2,508.5,726.8,488.3,388.7,756.8,269.4,467.3,348.1,361.5,568.3,485.8
BMP10,156.4,102.5,205.2,106.7,210.9,140.3,170.3,150.5,124.8,190.3,126.6,78.9,95.7,157.4,182.8,85.4,257.7,123.7,186.5,108.7,80.8,164.7,156.3,247.4,128.7,104.8
K-ras,61.7,70.8,92.2,69.1,110.7,64.4,66.2,72.7,69.1,88.3,66.6,80.6,79.2,67.5,90.1,83.4,67.8,63.8,63.7,71.7,75.5,61.2,76,61.4,72.1,87.3
VEGF,123,138.7,633.2,136.3,214.2,141.4,125.2,127.6,163,144.2,127.9,135,166.6,118.4,120.8,152.2,109.2,135,166,128.9,168.4,175.4,278.5,126.5,127,217.4
VEGF sR2,186.5,145.5,795.1,139.5,294.2,166.1,136,144.4,192.7,239.2,189,145.8,219.6,143.3,163.4,152.2,149.5,165.8,190.4,200.5,139.4,156.5,193.3,189.3,143,335.6
Protein disulfide isomerase A3,300.6,277.8,1744.1,413.2,401.6,250.7,311.1,718.5,284,324.2,705.9,673.9,199.8,242,360,303,409.6,1040.5,993.7,292.1,159.7,1124.8,317.1,366.7,952.2,312.8
Thrombin,100.3,79.1,53.3,81.3,92.7,79.5,100.9,164.2,75.5,104.2,108.3,77,66.8,222.7,113.4,80.4,135.6,65.7,82,69.6,59,1761.9,76.5,148.2,109,49.4
BMP-14,902.8,939.3,806.3,1089.4,411.7,863.6,744.9,813.6,877.2,349.3,564.2,951.9,1120.6,643.3,347.2,1225.8,409.1,400.9,394.6,1022.7,1191.4,701.5,607.5,151.4,884.2,3326.7
Calpastatin,8130.4,11019.5,8718.6,10107.9,4444,8363.1,7631.1,8018.3,10273.7,5228.7,7915.8,11174.8,12155.8,8988.4,4806.7,13940.3,5349.1,5780.5,4053.1,9330.8,13600.7,5591.2,7607,3064.3,8441.7,28303.5
MP2K4,367,450,733.9,607,380,593.8,486.8,390.9,501.7,427,617.8,392.5,503.5,462.8,510.3,690.7,431.7,908.2,825.1,528.7,379.6,311.4,454.9,662.6,369.4,990.7
IGF-II receptor,300.9,352.4,1357.1,1079.5,492.2,344.5,260.2,571.7,348.3,612.5,300.9,810.7,397.9,230.2,768,381.1,226.9,646.3,856.1,274.9,680,1521.9,526,321.8,894.5,329.7
SARP-2,73.6,48,36.7,47.2,57.8,56.5,60.4,54.7,46,71.9,55.2,46.2,47.7,66.2,76.4,48.5,82.1,54.6,49.4,46.7,41.8,58.2,46.5,96.1,60.3,43.5
Peroxiredoxin-1,316,223.7,220.2,761.6,251.4,553,497.2,291.7,627.4,507.5,409.9,275.5,123.2,505.4,601.7,182.3,646.3,653.6,1615.2,162.1,922.9,6058.8,221.5,562.3,287.9,197.7
CDK2/cyclin A,106.8,68.5,52,61.2,82.6,88.7,85.8,54.2,64,65.2,68.4,49,58.1,172.2,76.9,50.5,110.7,56.2,80.6,74.3,53.6,61.3,71.2,110.4,71.6,36.9
Testican-2,60.5,76.8,180.3,84.2,65.2,71.5,70.4,69.8,122.6,50.2,68.9,79.1,84.2,85.4,59.6,277.4,71,90.4,93.9,191.6,81.1,53.5,69.5,51,78.3,77
tPA,77,78.2,73.1,69.1,103.9,77.6,93.4,97.8,77.6,117,66.4,74.2,73,76.5,82,78.4,89.2,81.1,83.9,70.3,82.8,70,81.3,92.8,74.8,70.4
EDAR,65.1,54.4,52.1,51.2,83.1,58.5,69.5,56.5,59.5,103.2,52.2,48.4,51.6,73.5,102.5,51.4,101.3,48.1,92.6,56.4,51.6,50.2,72.7,65.5,60.6,35
SLAF7,93.8,143,157.5,118.5,100.1,126.2,86.9,99.2,170.6,91.1,114.2,140.9,139,127.6,84.6,119.4,101.2,124.7,117.5,98.7,131.9,151.2,197.1,95.2,93.7,153.9
GDF-11,90,98.4,134.5,85.8,125,88.8,89.3,89.2,91.2,111.4,95.6,108.7,105.4,75.6,89.8,102.3,88.2,94.2,93.6,92.8,100,78.7,113.9,93.3,88.9,138.3
ASAH2,31000.9,49759.2,18139.3,24352.7,15962.5,10643.2,26930.4,30086.4,40295.3,24528.6,40820.6,16288.5,11922.4,46866.3,17415.2,31101,17226.8,24557.6,56066,19603,1013,11502.6,21399,27741.8,21245.6,23695.2
EFNB2,85.8,99,137.5,167.7,86.7,81.6,88.9,98.8,94,84.6,96.3,115.2,108.3,87.4,96.6,114.7,92.7,100.8,80.7,100.2,101.4,84.2,105.5,93.1,101,162.3
discoidin domain receptor 1,43.8,42.8,45.8,50.3,27.3,45.5,40.1,44.8,46.5,34.6,48.6,46.7,46.8,42.2,43.3,43.7,38.6,48.5,39.2,53.6,51,59.3,40,38.3,47.6,37.2
PSA6,120.2,81.9,75.1,96.9,130.9,88.6,105.9,85.6,88.8,118.8,94,81.4,75.5,105.8,121.3,87.3,129.5,71.7,115.1,97.8,76.8,93.4,77.8,129.3,107.3,61.3
HIF-1a,60,65.4,106.3,62.5,56.9,81.6,65.5,64.3,59.9,64.9,57.5,78.2,75.6,51.5,72.1,69.1,108.3,63.5,51.2,67.4,66.4,42.5,64.2,64.9,59.8,94.2
UB2L3,116.2,83.2,79.5,84.1,130.6,96.5,193,114.4,88.5,189,93.8,66.2,68.5,334.9,221,67.6,255.6,200.7,188.3,96.3,65.7,115.9,146.6,277.5,97.4,63.2
PTP-1C,245.8,101.6,69.2,98.3,212.2,201.4,213.8,92.4,119.6,208,170.5,58.4,85.6,362.4,240.1,64,418.5,94.4,165.7,144.9,49.2,148.7,140.3,423.7,150.8,64.1
SRCN1,54.6,55.9,57.2,52.8,54.5,61.8,47.8,50.8,47,50.4,53.9,52.9,62,49.9,59.6,56.4,66,54.7,38.1,58.1,51.9,46.5,46.4,68.4,62.8,35.7
Myoglobin,104.2,123.7,118.2,109.4,78.4,95.2,97.3,136.4,98,81.6,102.3,126,125.5,107.6,87.1,149.3,81.3,110.4,67.7,112.1,130.2,118,103.1,85.7,378,206.5
Trefoil factor 2,124120.1,131740.8,204171.2,950.9,446.2,154151.4,329.6,59150.7,5413.6,3805.5,676.3,170416.4,318715.2,980.5,2274.7,274701.5,320,8676.7,10015.3,134205.3,224935.9,71208.8,73623.1,1419.1,8082.5,731996.1
c-Jun,93,110.8,263,105.9,176.8,162,108.8,115.8,172.7,175,111.8,126.2,113.5,99,103.9,128.2,113.1,131.3,192.3,143.7,106.3,146.8,211,136.1,102.9,158.3
IL-19,108.8,133,201.5,139.5,70.8,207.7,110.5,121.3,117.1,84.9,117.1,140.6,154.3,182,100.6,144.5,127.3,128.2,86.2,130.4,146.3,104.4,110.1,88.5,111.4,217.1
HCE001796,153624.9,164501,154112.2,145393.2,151274.1,147674.9,145282.3,155232.9,146250,157200.3,159398.9,148000.9,155570.2,144821,155033.8,153412.6,140877.6,158121.7,154948.7,164998.6,148438.6,145011.2,155449.4,142017.7,151920.6,159899.8
FGF-12,65.7,64.8,49,58.7,60.8,58.3,66.4,98,89.6,61.5,74.2,61.3,64.9,80.4,62.7,68.3,65.5,60.6,62.4,78,59,60,52,66.6,130.5,65.7
